Timestamp,Emotion,Confidence
2025-04-23 13:33:39,Sad,0.65
2025-04-23 13:33:40,Sad,0.70
2025-04-23 13:33:41,Sad,0.41
2025-04-23 13:33:42,Surprise,0.36
2025-04-23 13:33:43,Sad,0.55
2025-04-23 13:33:44,Sad,0.62
2025-04-23 13:33:45,Sad,0.66
2025-04-23 13:33:45,Sad,0.43
2025-04-23 13:33:46,Sad,0.36
2025-04-23 13:33:47,Sad,0.68
2025-04-23 13:33:48,Sad,0.35
2025-04-23 13:33:49,Sad,0.64
2025-04-23 13:33:50,Sad,0.42
2025-04-23 13:33:51,Sad,0.57
2025-04-23 13:33:52,Sad,0.55
2025-04-23 13:33:53,Sad,0.54
2025-04-23 13:33:53,Sad,0.42
2025-04-23 13:33:54,Sad,0.63
2025-04-23 13:33:55,Sad,0.44
2025-04-23 13:33:56,Happy,0.55
2025-04-23 13:33:57,Happy,0.58
2025-04-23 13:33:58,Sad,0.40
2025-04-23 13:33:59,Sad,0.49
2025-04-23 13:34:00,Sad,0.51
2025-04-23 13:34:01,Sad,0.41
2025-04-23 13:34:02,Sad,0.34
2025-04-23 13:34:03,Sad,0.38
2025-04-23 13:34:03,Surprise,0.32
2025-04-23 13:34:04,Sad,0.36
2025-04-23 13:34:05,Sad,0.42
2025-04-23 13:34:06,Sad,0.35
2025-04-23 13:34:07,Sad,0.47
2025-04-23 13:34:08,Sad,0.29
2025-04-23 13:34:09,Sad,0.44
2025-04-23 13:34:10,Sad,0.61
2025-04-23 13:34:11,Sad,0.46
2025-04-23 13:34:11,Sad,0.45
2025-04-23 13:34:12,Sad,0.52
2025-04-23 13:34:13,Sad,0.42
2025-04-23 13:34:14,Sad,0.46
2025-04-23 13:34:15,Sad,0.42
2025-04-23 13:34:16,Sad,0.46
2025-04-23 13:34:17,Sad,0.39
